Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
8/30/24,8/30/24,9/3/24,NVDA,Option Expiration for NVDA 8/30/2024 Put $117.00,OEXP,1,,
8/30/24,8/30/24,9/3/24,NVDA,NVDA 9/6/2024 Call $145.00,BTC,1,$0.04 ,($4.03)
8/30/24,8/30/24,9/3/24,C,"Citigroup
CUSIP: 172967424",Sell,99,$62.00 ,"$6,137.80 "
8/30/24,8/30/24,9/3/24,C,"Citigroup
CUSIP: 172967424",Sell,1,$62.00 ,$62.00 
8/30/24,8/30/24,9/3/24,SMCI,"Super Micro Computer
CUSIP: 86800U104",Buy,17,$453.80 ,"($7,714.60)"
8/30/24,8/30/24,9/3/24,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,12,$471.15 ,"($5,653.80)"
8/28/24,8/28/24,8/28/24,,Wire deposit,ICWIRE,,,"$5,000.00 "
8/28/24,8/28/24,8/28/24,,Wire deposit,ICWIRE,,,"$5,000.00 "
8/28/24,8/28/24,8/29/24,COST,"Costco
CUSIP: 22160K105",Buy,12,$892.51 ,"($10,710.12)"
8/27/24,8/27/24,8/28/24,AAPL,AAPL 11/15/2024 Call $245.00,STO,1,$4.41 ,$440.94 
8/26/24,8/26/24,8/27/24,C,"Citigroup
CUSIP: 172967424
Dividend Reinvestment",Buy,0.897148,$62.42 ,($56.00)
8/23/24,8/23/24,8/23/24,C,Cash Div: R/D 2024-08-05 P/D 2024-08-23 - 100 shares at 0.56,CDIV,,,$56.00 
8/22/24,8/22/24,8/23/24,NFLX,NFLX 9/20/2024 Call $720.00,STO,1,$9.10 ,$909.93 
8/22/24,8/22/24,8/23/24,AMZN,AMZN 9/20/2024 Call $190.00,STO,1,$1.84 ,$183.95 
8/22/24,8/22/24,8/23/24,NVDA,NVDA 9/6/2024 Call $145.00,STO,1,$2.99 ,$298.95 
8/22/24,8/22/24,8/23/24,AAPL,AAPL 9/20/2024 Call $240.00,STO,1,$1.30 ,$129.95 
8/16/24,8/16/24,8/19/24,NVDA,NVDA 8/30/2024 Put $117.00,STO,1,$3.95 ,$394.94 
8/16/24,8/16/24,8/19/24,TSLA,TSLA 11/15/2024 Call $250.00,STO,1,$13.63 ,"$1,362.92 "
8/16/24,8/16/24,8/19/24,TSLA,TSLA 8/16/2024 Call $207.50,BTC,1,$8.75 ,($875.03)
8/16/24,8/16/24,8/19/24,AAPL,"Apple
CUSIP: 037833100
Dividend Reinvestment",Buy,0.239388,$224.53 ,($53.75)
8/15/24,8/15/24,8/15/24,AAPL,Cash Div: R/D 2024-08-12 P/D 2024-08-15 - 215 shares at 0.25,CDIV,,,$53.75 
8/15/24,8/15/24,8/16/24,NVDA,NVDA 8/16/2024 Put $103.00,BTC,1,$0.03 ,($3.03)
8/7/24,8/7/24,8/8/24,NFLX,NFLX 8/9/2024 Call $660.00,BTC,1,$0.07 ,($7.03)
8/7/24,8/7/24,8/8/24,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,25,$99.66 ,"($2,491.63)"
8/5/24,8/5/24,8/6/24,TSLA,TSLA 8/30/2024 Call $240.00,BTC,1,$2.09 ,($209.03)
8/5/24,8/5/24,8/6/24,TSLA,TSLA 8/16/2024 Call $207.50,STO,1,$6.02 ,$601.94 
8/5/24,8/5/24,8/6/24,AAPL,"Apple
CUSIP: 037833100",Buy,15,$211.00 ,"($3,165.00)"
8/2/24,8/2/24,8/5/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305",Buy,15,$166.64 ,"($2,499.55)"
8/2/24,8/2/24,8/5/24,TSLA,"Tesla
CUSIP: 88160R101",Buy,4,$208.04 ,($832.14)
8/2/24,8/2/24,8/5/24,AMZN,"Amazon
CUSIP: 023135106",Buy,16,$167.87 ,"($2,685.95)"
8/2/24,8/2/24,8/2/24,,Wire deposit,ICWIRE,,,"$10,000.00 "
8/1/24,8/1/24,8/2/24,NVDA,NVDA 8/16/2024 Put $103.00,STO,1,$3.46 ,$345.95 
8/1/24,8/1/24,8/2/24,TSLA,TSLA 8/30/2024 Call $240.00,STO,1,$4.65 ,$464.94 
7/30/24,7/30/24,7/31/24,,ACH Deposit,ACH,,,"$10,000.00 "
7/25/24,7/25/24,7/26/24,AAPL,AAPL 11/15/2024 Call $250.00,BTC,1,$3.75 ,($375.03)
7/25/24,7/25/24,7/26/24,TSLA,TSLA 7/26/2024 Call $245.00,BTC,1,$0.09 ,($9.03)
7/19/24,7/19/24,7/22/24,NFLX,NFLX 8/9/2024 Call $660.00,STO,1,$8.35 ,$834.93 
7/19/24,7/19/24,7/22/24,AAPL,AAPL 11/15/2024 Call $250.00,STO,1,$5.00 ,$499.94 
7/19/24,7/19/24,7/22/24,AAPL,AAPL 7/19/2024 Call $222.50,BTC,1,$1.70 ,($170.03)
7/19/24,7/19/24,7/22/24,NVDA,NVDA 7/19/2024 Put $121.00,BTC,1,$3.10 ,($310.03)
7/18/24,7/18/24,7/19/24,AMZN,AMZN 7/26/2024 Call $210.00,BTC,1,$0.11 ,($11.03)
7/16/24,7/16/24,7/17/24,,ACH Deposit,ACH,,,"$5,000.00 "
7/12/24,7/12/24,7/15/24,NVDA,Option Expiration for NVDA 7/12/2024 Call $132.00,OEXP,1,,
7/8/24,7/8/24,7/8/24,NFLX,"Netflix
CUSIP: 64110L106",ACATI,106,,
7/2/24,7/2/24,7/3/24,TSLA,TSLA 7/19/2024 Call $260.00,BTC,1,$1.94 ,($194.03)
7/2/24,7/2/24,7/3/24,TSLA,TSLA 7/26/2024 Call $245.00,STO,1,$8.51 ,$850.93 
7/2/24,7/2/24,7/3/24,TSLA,TSLA 7/19/2024 Call $260.00,STO,1,$2.03 ,$202.95 
