"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/26/2024","12/26/2024","12/27/2024","MSTR","MSTR 1/10/2025 Put $325.00","STO","1","$15.91","$1,590.91"
"12/26/2024","12/26/2024","12/27/2024","MSTR","MSTR 12/27/2024 Put $347.50","BTC","1","$9.71","($971.03)"
"12/23/2024","12/23/2024","12/24/2024","NVDA","NVDA 12/27/2024 Put $130.00","BTC","1","$0.21","($21.03)"
"12/19/2024","12/19/2024","12/20/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","15","$428.00","($6,420.00)"
"12/19/2024","12/19/2024","12/20/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","10","$439.00","($4,390.00)"
"12/18/2024","12/18/2024","12/19/2024","TSLA","Tesla
CUSIP: 88160R101","Buy","20","$437.00","($8,740.00)"
"12/18/2024","12/18/2024","12/18/2024","","Wire deposit","ICWIRE","","","$5,000.00"
"12/17/2024","12/17/2024","12/18/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","100","$130.18","($13,017.50)"
"12/17/2024","12/17/2024","12/18/2024","MSTR","MSTR 12/27/2024 Put $347.50","STO","1","$8.60","$859.93"
"12/17/2024","12/17/2024","12/18/2024","TSLA","TSLA 12/20/2024 Put $392.50","BTC","1","$0.50","($50.03)"
"12/17/2024","12/17/2024","12/18/2024","NVDA","NVDA 1/17/2025 Call $142.00","STO","3","$2.86","$857.87"
"12/17/2024","12/17/2024","12/18/2024","NVDA","NVDA 12/27/2024 Call $142.00","BTC","3","$0.58","($174.09)"
"12/17/2024","12/17/2024","12/18/2024","NFLX","NFLX 12/20/2024 Call $760.00","BTC","1","$163.95","($16,395.03)"
"12/17/2024","12/17/2024","12/18/2024","NFLX","NFLX 3/21/2025 Call $780.00","STO","1","$167.45","$16,744.49"
"12/17/2024","12/17/2024","12/18/2024","AMZN","AMZN 12/20/2024 Call $217.50","BTC","1","$13.30","($1,330.03)"
"12/17/2024","12/17/2024","12/18/2024","AMZN","AMZN 12/20/2024 Call $217.50","BTC","1","$13.30","($1,330.03)"
"12/17/2024","12/17/2024","12/18/2024","AMZN","AMZN 2/21/2025 Call $225.00","STO","1","$16.60","$1,659.91"
"12/17/2024","12/17/2024","12/18/2024","AMZN","AMZN 2/21/2025 Call $225.00","STO","1","$16.60","$1,659.91"
"12/13/2024","12/13/2024","12/16/2024","HOOD","HOOD 12/27/2024 Put $34.00","BTC","2","$0.18","($36.06)"
"12/12/2024","12/12/2024","12/13/2024","SMCI","SMCI 1/10/2025 Call $48.00","STO","6","$1.61","$965.77"
"12/12/2024","12/12/2024","12/13/2024","SMCI","SMCI 12/20/2024 Call $52.00","BTC","1","$0.20","($20.03)"
"12/11/2024","12/11/2024","12/12/2024","NFLX","NFLX 12/13/2024 Call $765.00","BTC","1","$172.08","($17,208.03)"
"12/11/2024","12/11/2024","12/12/2024","NFLX","NFLX 12/20/2024 Call $760.00","STO","1","$178.00","$17,799.46"
"12/11/2024","12/11/2024","12/12/2024","SMCI","SMCI 12/20/2024 Call $52.00","BTC","1","$0.31","($31.03)"
"12/11/2024","12/11/2024","12/12/2024","SMCI","SMCI 12/20/2024 Call $49.00","BTC","1","$0.46","($46.03)"
"12/11/2024","12/11/2024","12/12/2024","SMCI","SMCI 12/20/2024 Call $50.00","BTC","1","$0.39","($39.03)"
"12/11/2024","12/11/2024","12/12/2024","PLTR","PLTR 1/3/2025 Put $68.00","STO","2","$2.34","$467.91"
"12/11/2024","12/11/2024","12/12/2024","TSLA","TSLA 12/20/2024 Put $392.50","STO","1","$5.10","$509.94"
"12/11/2024","12/11/2024","12/12/2024","SMCI","SMCI 12/20/2024 Call $50.00","BTC","1","$0.39","($39.03)"
"12/11/2024","12/11/2024","12/12/2024","NVDA","NVDA 12/20/2024 Put $132.00","BTC","1","$0.87","($87.03)"
"12/9/2024","12/9/2024","12/10/2024","HOOD","HOOD 1/10/2025 Put $36.50","STO","5","$1.55","$774.81"
"12/9/2024","12/9/2024","12/10/2024","NVDA","NVDA 1/10/2025 Put $133.00","STO","5","$3.55","$1,774.79"
"12/9/2024","12/9/2024","12/10/2024","META","META 12/13/2024 Put $560.00","BTC","1","$0.26","($26.03)"
"12/9/2024","12/9/2024","12/10/2024","TSLA","TSLA 12/20/2024 Put $320.00","BTC","1","$0.73","($73.03)"
"12/6/2024","12/6/2024","12/9/2024","NVDA","NVDA 12/6/2024 Call $138.00","OASGN","3","",""
"12/6/2024","12/6/2024","12/9/2024","NVDA","NVIDIA
CUSIP: 67066G104
3 NVDA Options Assigned","Sell","300","$138.00","$41,398.79"
"12/6/2024","12/6/2024","12/9/2024","SMCI","SMCI 12/6/2024 Put $47.00","OASGN","1","",""
"12/6/2024","12/6/2024","12/9/2024","SMCI","Super Micro Computer
CUSIP: 86800U302
1 SMCI Option Assigned","Buy","100","$47.00","($4,700.00)"
"12/6/2024","12/6/2024","12/6/2024","SMCI","Stock Lending","SLIP","","","$0.01"
"12/6/2024","12/6/2024","12/9/2024","DFS","Discover Financial Services
CUSIP: 254709108
Dividend Reinvestment","Buy","0.392546","$178.32","($70.00)"
"12/5/2024","12/5/2024","12/5/2024","DFS","Cash Div: R/D 2024-11-21 P/D 2024-12-05 - 100 shares at 0.7","CDIV","","","$70.00"
"12/2/2024","12/2/2024","12/3/2024","SMCI","SMCI 12/20/2024 Call $49.00","STO","1","$3.00","$299.95"
"12/2/2024","12/2/2024","12/3/2024","SMCI","SMCI 12/20/2024 Call $52.00","STO","2","$2.33","$465.91"
"12/2/2024","12/2/2024","12/3/2024","SMCI","SMCI 12/20/2024 Call $50.00","STO","2","$2.75","$549.91"
"11/26/2024","11/26/2024","11/27/2024","AMZN","AMZN 12/20/2024 Call $217.50","STO","2","$1.90","$379.91"
"11/26/2024","11/26/2024","11/27/2024","HOOD","HOOD 12/27/2024 Put $34.00","STO","2","$1.29","$257.92"
