Stock,Weight,Name
NVDA,13.00%,NVIDIA Corporation
MSFT,9.00%,Microsoft Corporation
ADBE,5.00%,Adobe Inc
INTU,4.00%,Intuit Inc
INTC,4.00%,Intel Corporation
WIT,3.00%,Wipro Limited
AI,2.00%,C3ai Inc Class A
NICE,2.00%,NICE Ltd American Depositary Shares
AMBA,2.00%,Ambarella Inc Ordinary Shares
SYNA,1.00%,Synaptics Incorporated $0001 Par Value
CRNC,1.00%,Cerence Inc
CEVA,1.00%,CEVA Inc
NNDM,1.00%,Nano Dimension Ltd American Depositary Shares
GOOGL,10.00%,Alphabet Inc Class A
META,9.00%,Meta Platforms Inc Class A
BIDU,3.00%,Baidu Inc ADS
SSTK,1.00%,Shutterstock Inc
AMZN,10.00%,Amazon Inc
AMD,3.00%,Advanced Micro Devices
AVAV,5.00%,AeroVironment Inc.
SMCI,11.00%,Super Micro Computer 
,100.00%,
